date,selic_diaria,selic_acumulada_mes,selic_anualizada_252,dolar_venda,dolar_compra,ipca,ipca_monitorados,ipca_livres,ipca_servicos,ibc_br_sem_ajuste,ibc_br_com_ajuste,ibc_br_industria_sem_ajuste,ibc_br_industria_com_ajuste,ibc_br_servicos_sem_ajuste,ibc_br_servicos_com_ajuste,taxa_desocupacao,pessoas_idade_trabalhar,forca_trabalho,ocupadas,desocupadas,rendimento_real_habitual,credito_total,credito_livre_pf_total,comprometimento_renda_familias,endividamento_familias
2017-01,0.049115,1.09,13.172727272727274,3.127,3.1264,0.38,0.8,0.25,0.37,89.90447,93.41681,93.88338,98.70286,90.40587,92.26553,12.7,162249.0,101669.0,88798.0,12871.0,3139.0,3086116.0,811179.0,27.65,44.67
2017-02,0.047865,0.87,12.816666666666668,3.0993,3.0987,0.33,0.58,0.25,0.84,90.4445,94.52719,91.90679,99.45056,88.18009,92.47673,13.3,162390.0,101783.0,88282.0,13501.0,3151.0,3083038.0,807406.0,27.38,44.54
2017-03,0.045513000000000005,1.05,12.15,3.1684,3.1678,0.25,0.48,0.18,0.34,99.01453,94.61426,101.74906,99.68121,93.26216,92.4448,13.9,162530.0,102010.0,87880.0,14130.0,3165.0,3090455.0,811975.0,27.67,44.54
2017-04,0.04353744444444444,0.79,11.594444444444445,3.1984,3.1978,0.14,-0.6,0.37,0.49,93.37047,94.50331,93.28494,98.98572,89.94219,92.73704,13.7,162656.0,102168.0,88171.0,13998.0,3145.0,3082414.0,808463.0,27.54,44.32
2017-05,0.041957,0.93,11.15,3.2437,3.2431,0.31,1.56,-0.08,0.05,94.65152,94.27088,101.41215,99.14579,93.58797,92.94489,13.4,162796.0,102332.0,88615.0,13717.0,3135.0,3077588.0,816497.0,27.34,44.41
2017-06,0.03837,0.81,10.15,3.3082,3.3076,-0.23,-0.83,-0.04,0.43,94.31754,94.86629,99.75015,99.9404,93.5522,93.81321,13.1,162930.0,102588.0,89163.0,13425.0,3127.0,3090213.0,820277.0,27.16,44.42
2017-07,0.03785271428571429,0.8,10.007142857142858,3.1307,3.1301,0.24,1.28,-0.09,0.34,96.5409,94.93311,101.86712,99.4394,94.26095,93.94803,12.9,163069.0,102788.0,89535.0,13253.0,3128.0,3065064.0,825417.0,27.04,44.47
2017-08,0.034749,0.8,9.15,3.1471,3.1465,0.19,1.73,-0.32,0.01,97.74903,94.65194,106.91678,99.64585,95.55495,93.42401,12.7,163199.0,102966.0,89928.0,13039.0,3124.0,3063766.0,830704.0,26.97,44.48
2017-09,0.0318266,0.64,8.35,3.168,3.1674,0.16,0.24,0.14,0.5,94.18057,94.64787,102.46712,99.76535,93.75354,93.3591,12.5,163330.0,103070.0,90176.0,12894.0,3137.0,3063640.0,830364.0,26.96,44.32
2017-10,0.030569714285714283,0.64,8.007142857142858,3.2769,3.2763,0.42,0.98,0.24,0.37,95.02149,94.85294,105.44179,100.44493,94.89684,93.66235,12.3,163461.0,103166.0,90484.0,12682.0,3145.0,3068523.0,839865.0,26.73,44.39
